FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,AGG_METHOD,AGG_METHOD_LABEL,DECIMALS,DECIMALS_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,DATA_SOURCE,DATA_SOURCE_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A,Annual,AUS,Australia,WB_WDI_NY_GDP_PCAP_KN,GDP per capita (constant LCU),XDC_K,"Domestic currency, constant prices",_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,31129.44251225396,31273.681198130307,30914.634146341465,32212.602739726022,33791.43906152055,35117.22866174921,35141.10376791692,36888.12611238241,38089.1831126655,39928.15787327734,41958.42328296154,42186.59658344284,43037.8690141914,43495.216741405085,44149.82146760912,44192.11113510401,44883.70270077674,45976.39515219842,45850.88452430701,47195.25974920766,48038.79662401307,48873.97257703746,49631.23953397228,47867.69352619085,49469.13521844339,51391.18102049161,52662.22800725418,53194.8292270341,55344.7207516209,56523.40229955057,57685.35694546212,56737.03757617723,56345.64712862303,58106.61505359174,59840.38161760196,61477.214902047126,63082.233095215975,64845.3346752764,67196.09595743327,69806.64315576265,71718.5979443162,72237.4889239527,74262.65221046605,75682.41491177535,78040.57067569597,79528.09666368041,80624.01551105214,82153.1617963875,83411.04998828427,83256.08011524063,83790.62035471536,84623.45429888526,86415.99509797561,87151.7103696542,88089.77935724647,88732.803311388,89768.1513140454,90314.85421542458,91534.88699271546,92150.9782620966,90912.48991003555,92701.10208860968,95411.7756093462,96331.9131811293,95727.8178280906
A,Annual,AUT,Austria,WB_WDI_NY_GDP_PCAP_KN,GDP per capita (constant LCU),XDC_K,"Domestic currency, constant prices",_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,11681.8840540233,12261.389283646808,12509.249548741098,12943.503913611048,13644.955882694512,14028.38088758981,14716.399882791686,15046.19584026253,15637.698184789822,16561.807322008102,17679.635670461004,18501.19818966301,19535.85568571145,20378.028147477333,21145.336949229622,21124.39663101639,22130.629665489178,23245.935550702063,23215.755249226266,24501.08345999861,24925.28975354838,24825.932424415787,25307.08912166925,26101.63754924351,26116.665172241137,26756.6712954487,27355.05801082565,27708.77127806061,28581.527311251462,29559.044628126507,30609.43949152432,31348.34712699379,31654.33585151547,31559.76732033981,32193.72771423005,33002.08422503591,33687.81760360608,34371.73164646116,35533.28350543057,36798.353019722425,37880.84451903661,38233.093969593,38610.19144249344,38861.18405604535,39611.553449928695,40255.50227161989,41366.40265310829,42789.152704356,43275.32789777223,41614.20743269798,42265.27559830902,43356.18602936278,43430.1034247842,43066.633937996114,43054.32525862485,43129.35160648311,43568.78675028054,44250.336286195525,45129.26432729474,45717.52572095244,42651.5284970142,44502.501787389774,46405.39907149543,45509.70727332877,44746.69406117482
A,Annual,AZE,Azerbaijan,WB_WDI_NY_GDP_PCAP_KN,GDP per capita (constant LCU),XDC_K,"Domestic currency, constant prices",_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1599.3754447262795,1567.18988351464,1194.8067271286432,904.9840822970592,716.968584423192,625.1003207609778,626.8519386834987,656.8423053615284,715.701200556047,761.946835363753,839.5970603583232,915.5958906449144,994.5692512228244,1087.8246488862694,1178.13082562274,1492.2216197858636,1984.610977315391,2461.88369929252,2666.057335285015,2855.9403036139624,2957.310638291074,2873.110593931581,2897.6436845394,3027.550933920511,3073.6433252023085,3069.1243071364247,2942.026501579801,2917.773950737977,2936.006665266685,2983.447529266103,2838.6801669564647,2984.914473612389,3124.4090194087694,3162.922976861959,3275.924489786286
A,Annual,BDI,Burundi,WB_WDI_NY_GDP_PCAP_KN,GDP per capita (constant LCU),XDC_K,"Domestic currency, constant prices",_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,160271.04155979652,134784.79623959347,143319.20090593246,146135.41910156133,150941.33110794757,152647.45259627418,155888.19338960087,172987.01456665125,168405.4705304452,162383.04713149753,192780.0321065524,193319.2571757468,180947.21343839643,193687.8317858489,187524.46816467267,184206.5760262044,194432.52120343293,211240.20242585693,203294.89668412704,201605.9085482916,195235.5497312092,210239.23347585005,202897.258348482,204871.6161369966,200278.1334405096,219093.0308090397,222007.9181949439,228941.8682961027,235192.15264978257,233731.8458813394,236917.7138140114,243662.015211812,239630.05347699468,231863.0476129074,221538.3415992078,192140.2363971808,176647.00753116794,173851.60848969413,178663.8728627333,172671.80763292042,167672.21990561645,166884.79795730262,169458.24009559018,162179.3507141829,163797.44838219715,159245.60242057155,161928.47109044038,161436.20325430165,162442.97658129543,160305.95868455234,160813.62198718404,161418.9577296841,162686.45514638626,164675.0258948338,165929.202692461,155881.35356340485,152300.94761745926,149506.69482865813,147395.94791358718,145219.8901931371,141518.2630928532,141984.14942723684,140748.98554525952,140612.50923156153,141806.85928586897
A,Annual,BEL,Belgium,WB_WDI_NY_GDP_PCAP_KN,GDP per capita (constant LCU),XDC_K,"Domestic currency, constant prices",_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,11549.791635168076,12084.576686329996,12663.915463986314,13116.568574777202,13896.89151805603,14261.607745563322,14612.651865477015,15093.638369510212,15664.939277984386,16656.261068556585,17696.918528402683,18368.780032837247,19265.92744499473,20431.03219965263,21296.64968315419,20817.72424418664,21955.233872673754,22065.444412095672,22671.3593347002,23181.26713606357,24184.78611236036,24117.87799186569,24267.97055650582,24345.58257707356,24946.41237286629,25350.92320101989,25803.80980271092,26376.51974613773,27534.65861899576,28386.58071382132,29189.9969891784,29614.8199917517,29946.377349166632,29542.70033888725,30402.19164393858,31062.08648854161,31411.1157069018,32523.94967413121,33091.28053217247,34185.17273739713,35369.852457017434,35635.99917173557,36082.15984364331,36304.37273693388,37438.49639439536,38097.584824409554,38813.12382927577,39945.83886238083,39808.63443820073,38736.77313549872,39424.80927597653,39666.72657946938,39506.56220817774,39440.91294456775,39959.47205906795,40314.26276428049,40589.38939878861,41029.50482094403,41610.19104311575,42396.92296444071,40191.24843871928,42510.824304269,43964.76604444612,44088.398286885946,44202.28976654067
A,Annual,BEN,Benin,WB_WDI_NY_GDP_PCAP_KN,GDP per capita (constant LCU),XDC_K,"Domestic currency, constant prices",_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,387783.442942121,393410.7394314603,373303.3131285132,383850.179802692,401643.4785020579,414635.76834270265,420858.8777312577,416708.814767297,423686.0434856251,426578.4525962387,426030.1639414862,410321.0461255972,426781.7223962391,432360.8712786616,436283.6829948437,404957.7194798757,398500.8452248969,407852.58439910336,402408.8913900285,417457.2003924025,433648.2451695446,463465.74485297926,460340.3464036437,427731.9207296696,448351.9924555624,468078.36147193966,464185.7676529596,443647.5287880882,445007.430615293,419280.77833013807,443089.3220630055,447785.5994897678,447003.8657178804,452560.6799999864,444755.2633098368,461774.6398335061,469300.9209685197,481779.23769986926,485656.7445502894,496012.890810528,509159.3727112992,520180.25152049615,528033.1020063251,529812.4495297021,536598.1811215804,528493.2229973758,532457.3962165093,547899.5962572575,557632.8720287858,553708.568858489,548790.2812599643,548476.7956956585,558055.8196909169,580805.9028648684,599744.6601107307,592641.7615282042,594782.1829017694,610665.348619327,633486.007611674,658712.1379566119,666091.0487691475,695488.0070529381,720389.4966830555,747067.8619298912,783227.2813890384
A,Annual,BFA,Burkina Faso,WB_WDI_NY_GDP_PCAP_KN,GDP per capita (constant LCU),XDC_K,"Domestic currency, constant prices",_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,144354.53912331612,148035.91571676556,154827.06155613626,150600.05524445878,151686.541851228,154898.24348275986,153200.8559387835,163950.8014478213,166107.02491066032,166566.58755015483,163874.48585673788,163346.16176877395,164266.09875028284,162082.16883259892,172221.82728554678,173846.2465407058,184686.25102398085,181099.86149683592,184781.0751019878,186655.5649600534,183160.50779372183,185809.9041338908,198032.54528454755,193166.7597918139,184332.9104702676,194340.25063953645,203964.4366944725,197990.29253377247,203911.5539281733,202838.71520287407,196372.90269097523,208819.94512398145,204205.5946164172,206085.2896655322,203596.2724760016,209786.26157511488,227009.6740109884,235207.0442682576,245514.55903316743,256056.5814145885,253221.76209793665,261856.0106501821,264939.02206602576,276842.5915946546,280285.43283439253,295128.6214814497,303949.6975901902,306993.18471870216,315394.47307078284,315393.75468569004,332170.64972282626,343850.8866451549,355159.3977494087,364624.6896242975,369257.1608233507,372537.1238441012,383353.7731028357,395683.9838603885,410592.2752972264,423911.5547397494,422031.84611352,440732.1000409043,437120.0671970077,439959.5029413992,451633.5807615689
A,Annual,BGD,Bangladesh,WB_WDI_NY_GDP_PCAP_KN,GDP per capita (constant LCU),XDC_K,"Domestic currency, constant prices",_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,42642.780727979465,43969.15018849624,45039.69955550855,43546.366419080055,46925.70954784677,46307.1230355438,46134.64257387156,43956.90672120384,46732.08697957427,45977.006384672495,47319.90125615102,43951.916626874,37089.91606702253,37241.74897185104,39674.64028331309,37067.78859895704,38184.923429482806,38242.12176172151,39960.15986784067,40882.10380576629,40242.31156884433,42060.67839123583,41796.01048117402,42270.16375104231,43177.42099489152,43534.94288651829,44299.39442801566,44952.79263296472,45069.924578613296,45409.0715540452,47016.91841825889,47734.77098359182,49392.99969249396,50765.66996037326,51771.62506983466,53421.01408013695,54825.74347513189,56235.32637747826,58040.45361103363,59607.94778426283,61626.69825249533,63685.201803198266,65113.57209280418,67214.34740202923,69779.48675357475,73408.93674861429,77402.69769594715,81979.67614924103,86046.3367660402,89549.08025264095,93713.5270729492,98869.17984089127,104312.40296283808,109552.45140357468,115138.59071844992,121591.52773580956,129083.77346029274,136424.9007037574,145213.35862859696,155338.5691630053,159356.36733723307,169030.40503903243,179186.55404088358,187233.2919589945,192784.75603155533
A,Annual,BGR,Bulgaria,WB_WDI_NY_GDP_PCAP_KN,GDP per capita (constant LCU),XDC_K,"Domestic currency, constant prices",_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,7499.289030811965,7840.592490787625,7999.93639441231,8253.73604706442,8514.125519830795,8742.725822070819,9113.00135405992,9650.541990547184,10694.73940110835,10464.62168747377,9683.62524076838,8954.05424723022,8392.521876629067,8334.511626281985,8514.900366443613,8797.696116388319,9303.50816817186,8039.07559466549,8399.54965527749,7737.575000389739,8132.582520906537,8613.312512126768,9319.192115614314,9885.245598030797,10608.58898567552,11443.007756132283,12314.604404512973,13230.994290779288,14140.906560520494,13755.932445180924,14062.150341033905,14448.425002259017,14641.176541441642,14858.401914523803,15182.755614843532,15899.42506147783,16594.688183687624,17277.59930670652,17962.75614315913,18908.39608591923,18484.81642256029,20055.908893717995,21002.134693416043,21459.817087963944,22070.650239294293
A,Annual,BHR,Bahrain,WB_WDI_NY_GDP_PCAP_KN,GDP per capita (constant LCU),XDC_K,"Domestic currency, constant prices",_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,,,,,,,,,,,6431.934091926747,6367.512495427572,6740.098160595177,7281.400395296725,7495.569933955687,6490.648048866274,8053.085515225221,8666.155245800948,8583.179581848126,8482.462539166243,8325.117387837445,7575.531109473341,6759.544270928232,6944.28551598839,7038.00628871373,6466.306391396907,6309.289012822338,6716.064216247347,6930.516660251245,6712.411301317202,6772.40817173653,7708.82493261134,8011.055884505612,8807.306709415814,8557.072814981097,8662.421740663005,8784.05606909821,8820.205053342726,9002.366237794333,9145.322219878291,9379.410177828107,9268.043416460512,8914.664493711236,8807.102654355625,8744.520911305859,8652.808098809435,8525.578910980983,8532.028249919416,8537.46438591531,8197.741797244604,8204.067745288525,8596.835199410889,8820.849917780844,8959.92709810396,8909.674857481046,8761.480878216944,8754.549681610086,8714.536384929612,8881.72439326694,9182.170114223632,8707.169658552755,8891.691843402366,9315.337579434025,9355.287278408734,9567.122183965204
